num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux
193,Confédération des écologistes indépendants,2008,0,0,0,0,0,0,0,0,0,0,0,383,0,383,0,-992,0,0,0,487,0,0,0,383,0,0,0,0,5473,0,0,0,1,0,0,0,5596,750,0,0,0,3855,0,0,0,0,0,0,0,4605,-991,10201
195,Union du peuple Alsacien,2008,0,0,0,0,15,0,0,0,0,0,0,7120,0,7135,5000,2135,0,0,0,0,0,0,0,7135,0,0,0,0,4522,0,0,0,0,0,0,0,5122,2904,0,0,0,2970,0,1159,0,0,224,0,0,7257,2135,12379
197,LIGUE COMMUNISTE RÉVOLUTIONNAIRE,2008,191,0,1098816,68796,236,8888,26427,54450,0,36554,795597,465134,2348,2557437,0,249890,31,0,0,202609,71081,0,38463,2557437,682516,0,0,378277,311392,18332,313552,118690,137,7825,0,0,2486456,936809,4514,894504,0,135300,9959,0,199692,511419,14187,6622,0,2736346,249890,5222802
204,ASSOCIATION POUR LA RÉFORME,2008,0,0,0,0,0,0,0,0,0,0,0,99524,0,99524,0,-38618,0,0,43,12729,0,0,0,99524,0,0,0,0,107129,0,0,0,0,0,0,0,114618,0,0,0,0,0,0,76000,0,0,0,0,0,76000,-38618,190618
207,RASSEMBLER POUR AGIR,2008,0,0,0,0,0,0,0,0,0,0,0,5113,0,5113,0,-14978,0,0,0,0,0,957,0,5113,18707,0,0,0,0,0,0,0,0,0,0,0,24888,130,6851,0,0,275,0,0,0,0,590,42,0,9910,-14978,34798
208,Comité de soutien à Patrick Bobet,2008,0,0,0,0,0,0,0,0,0,0,0,19453,0,19453,0,-806,0,0,0,0,0,0,0,19453,4206,0,0,0,737,0,0,0,0,0,0,0,5025,0,1400,0,0,503,0,0,0,0,224,0,0,4219,-806,9244
210,Solidarité et progrès,2008,0,0,0,6989,0,0,32164,0,0,0,0,6059,1218,46430,0,28984,4500,0,0,26789,0,2701,36007,46431,0,0,0,26558,281179,2973,0,0,0,1042,0,0,316934,1070,0,0,0,277143,0,0,0,0,0,1622,0,345919,28985,662853
213,TOULOUSE POUR TOUS,2008,0,0,0,0,0,5000,0,0,0,0,0,21954,0,26954,0,-106285,0,0,0,22892,0,0,0,26953,0,0,0,18671,75694,0,11540,12089,40,0,0,0,138891,40,0,0,0,0,12134,0,0,0,0,0,0,32606,-106285,171497
220,Francheville au cœur,2008,0,0,0,1109,0,0,0,0,0,9500,0,14124,0,24733,0,2042,0,0,0,0,0,5935,0,24733,0,0,0,4131,993,0,0,0,16,0,0,0,11069,10985,0,0,0,0,1965,0,0,0,161,0,0,13111,2042,24180
224,ASSOCIATION PARIS 15,2008,0,0,0,342,0,0,0,0,0,0,0,18493,909,19744,0,-22168,0,0,0,51288,0,0,0,19745,0,0,0,0,95584,1196,0,0,0,0,0,0,97060,0,0,0,0,50229,0,7489,0,8582,0,0,0,74892,-22168,171952
225,ASSOCIATION POUR LA DÉMOCRATIE L'ÉCOLOGIE ET LA SOLIDARITÉ,2008,0,0,0,0,0,2707,0,0,0,0,0,49535,0,52242,0,4418,0,0,0,0,0,0,0,52242,12017,0,0,4801,5874,0,0,0,0,0,0,0,22692,6780,4790,0,0,1070,0,0,0,13201,823,256,0,27110,4418,49802
227,Fetia Api,2008,0,0,0,7860,0,0,3235,0,0,12098,0,110174,0,155809,0,32689,0,0,0,68,46,0,0,155809,31846,0,0,0,29287,160,0,0,2,0,0,0,1058051,22692,0,1024195,1023326,10705,0,0,30781,0,1735,630,0,1090741,32689,2148792
230,FUTURS-MOUVEMENT DES REFONDATEURS COMMUNISTES,2008,0,0,0,0,0,0,0,0,0,0,0,73188,0,73188,0,-5,0,0,0,0,0,0,0,73187,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5
233,GUADELOUPE UNIE SOCIALISME ET RÉALITÉS,2008,0,0,0,2792,0,1025,2986,492,0,15861,0,20133,0,43289,0,37324,0,0,0,16675,3837,8873,0,43289,0,0,0,0,62566,141,10909,1269,27,778,0,0,77063,2770,0,100621,88984,6663,0,0,3080,0,0,1175,78,114387,37324,191450
239,ISÈRE PREMIÈRE,2008,0,0,0,0,0,0,1400,0,0,0,0,175,0,1575,0,-871,0,0,0,360,0,1549,0,1575,304,0,0,0,5867,0,0,0,0,0,0,0,6171,0,0,0,0,5300,0,0,0,0,0,0,0,5300,-871,11471
240,ALLIANCE MÉDITERRANÉE ALPES,2008,0,0,0,1832,0,0,0,0,0,176,0,16188,315,18511,0,2384,0,0,0,10318,0,0,0,18511,10617,0,0,2193,46022,176,0,0,0,0,0,0,74716,9660,585,0,0,64155,2482,0,0,0,0,182,0,77100,2384,151816
242,Argenteuil que nous aimons,2008,0,0,0,1059,0,0,0,0,0,0,0,11705,0,12764,0,3084,0,0,0,1000,0,0,0,12764,0,0,0,8849,14882,0,0,0,0,0,0,0,23761,3495,0,0,0,13765,0,0,9585,0,0,0,0,26845,3084,50606
243,CONVERGENCES-GILLES CARREZ,2008,0,0,0,0,0,0,0,0,0,0,0,26174,141,26315,0,5284,0,0,0,1930,0,0,0,26316,0,0,0,2782,14657,642,0,0,0,0,0,0,18081,2125,0,0,0,17855,0,0,2020,0,0,0,0,23365,5284,41446
247,UNION POUR LA VIIÈME,2008,0,0,0,0,0,0,0,0,0,0,0,6359,0,6359,0,-14954,0,0,0,0,0,0,0,6359,650,0,0,0,8505,0,0,0,22,0,0,0,26290,8234,0,0,0,0,0,0,2170,0,749,0,0,11336,-14954,37626
249,Réussir ensemble en Dordogne-Périgord,2008,0,0,0,27058,0,0,0,0,0,133,0,6072,1967,35251,0,14558,0,0,0,5224,0,0,0,35251,1745,0,0,10055,22291,45,0,0,135,0,0,0,45327,0,15370,0,0,34940,883,1907,0,4785,0,2000,0,59885,14558,105213
256,UNION POUR L'AVENIR DE MANTES-LA-JOLIE,2008,0,0,104910,0,0,0,262,0,0,0,0,33140,0,138312,0,-1888,0,0,71781,1222,0,0,0,138312,0,0,0,0,13026,1720,0,0,3042,0,0,0,31266,28708,0,0,0,670,0,0,0,0,0,0,0,29378,-1888,60644
257,UNION POUR L'AVENIR DU XVIÈME SUD,2008,0,0,0,2693,0,0,4749,0,0,0,0,6018,655,14115,0,-3982,0,0,0,9630,0,0,0,14115,7074,0,0,0,37058,94,0,0,9,0,0,0,47395,0,0,0,0,43413,0,0,0,0,0,0,0,43413,-3982,90808
