num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux,deputes
52,parti radical de gauche,2011,0,0,76225,53518,0,0,80169,0,0,61624,241645,618450,16896,1148527,0,-420206,0,0,45411,110559,65228,55872,180,1148527,961602,0,0,11382,874722,28187,154358,123115,2032,19025,0,0,2485176,124288,268890,1382180,878166,74735,353,118257,45665,29576,10576,10325,125,2064970,-420206,4550146,0
76,parti socialiste,2011,443292,0,15028446,3941490,1023544,1342931,420594,33329,0,3253353,7865452,13979248,219450,48974262,0,-4566349,313500,12468939,4779373,2538281,4267058,7250570,425599,48974263,7251826,0,0,1815463,18237780,1530542,14502547,6692013,221602,251487,0,2238666,64407316,9411894,15537179,23255001,12996863,2976812,29704,26652,3778467,2480787,419723,269833,794920,59840965,-4566351,124248281,206
95,union pour la democratie francaise,2011,113288,0,4515703,207876,15250,74081,5620,0,0,25200,0,448,6643,4964109,0,-75361,0,0,0,40684,231895,757665,0,4964109,1860,0,0,0,56906,95728,672353,338193,9409,0,0,0,1330120,1170,7227,0,0,0,0,0,0,0,3,4915,0,1254759,-75361,2584879,0
104,europe ecologie les verts,2011,22248,0,0,2408129,194953,0,412262,2366,0,163131,43577,2265479,10621,5785668,0,19984,390852,20595,3311734,732895,453789,476211,2764,5785669,345837,0,0,643137,3727701,32622,1651046,917751,135157,326798,0,0,8592113,1621588,2445512,1835455,395175,317418,4486,0,259927,1229225,27280,315859,517179,8612097,19984,17204210,0
401,union pour un mouvement populaire,2011,1177271,0,35806464,5223459,0,1083179,926343,55808,0,1334342,396934,7662528,484703,54151031,0,282615,1317555,585246,43912164,6996386,3814097,841330,104203,54151035,11130038,0,0,0,23591901,1585752,8062817,3949678,668475,58118,0,0,52853247,5670022,1745736,33122661,20022193,10281536,75826,16361,696987,1082093,131798,67618,22800,53135862,282615,105989109,321
455,la france en action,2011,0,0,0,909,0,0,1000,13602,0,0,0,3027,2676,21214,0,-275328,0,0,11525,633,0,14903,0,21214,41701,0,0,3719,123981,1478,0,0,101912,1350,0,0,283265,410,0,0,0,5920,0,0,0,291,0,0,1316,7937,-275328,291202,0
529,mouvement democrate,2011,0,0,84515,233524,15,106070,6910,0,0,428536,392649,680164,23403,1955786,0,1145563,65918,36,1165998,79686,31892,35818,0,1955787,547854,0,0,0,2544497,66045,97656,43892,28042,628,0,0,3990586,394381,27371,3826244,1053800,289462,1205,0,146934,285911,21266,1055,55000,5136150,1145564,9126736,0
531,association psle - nouveau centre,2011,37741,0,0,31191,0,0,15698,0,0,410325,0,166790,2794,664539,0,-710689,405000,0,401089,219859,107338,19250,0,664539,337086,0,0,55464,798721,44836,518719,198585,5177,5621,0,0,2490404,131845,89020,0,0,69822,0,1379426,100235,0,0,338,0,1779713,-710691,4270117,25
1,democratie et republique,2012,0,0,0,0,0,0,0,0,0,0,0,109717,0,109717,0,57997,0,0,0,0,0,0,0,109717,46500,0,0,0,0,0,0,0,0,0,0,0,511860,18294,0,520663,506740,13353,0,0,0,0,1397,0,0,569857,57997,1081717,35
40,front national,2012,15833,0,59760,537651,14000,1658683,97070,0,0,166071,0,604254,125123,3278445,0,-2744076,58439,0,0,581936,865488,1056968,0,3278445,1163936,0,0,569094,2947185,234340,1382460,538740,140710,136181,0,0,8964433,1576027,535018,1744403,0,260796,0,77000,475728,130175,37032,78587,462105,6220357,-2744076,15184790,0
52,parti radical de gauche,2012,0,0,76225,68055,0,0,80169,0,0,217638,169761,496713,17188,1125749,0,-282808,0,0,324036,114756,84969,26406,40,1125749,744176,0,0,12867,854033,31613,181564,149427,4061,1446,0,0,2363289,149717,251469,1323533,844567,78535,4285,178181,25918,45258,6920,5874,8334,2080481,-282808,4443770,17
76,parti socialiste,2012,354184,0,15849933,3634651,1134449,13061844,482492,32930,0,3106563,7359148,13052662,287878,59936079,0,-6828721,598241,5133804,28521125,3120694,4317329,7196320,482167,59936079,5558063,0,0,1817492,22565578,1628231,14547257,6742603,388435,307379,0,391000,70281939,10196223,15861551,22881373,13133018,625462,11775,28766,691795,2893005,281271,181166,9141463,63453218,-6828721,133735157,449
