nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat_debut,mandat_fin
Brigitte Barèges,1953-05-01,82,1,union pour un mouvement populaire,188.0,3,2007-06-20,2012-06-19
Céleste Lett,1951-05-07,57,5,union pour un mouvement populaire,222.0,2,2007-06-20,2012-06-19
Alfred Marie-Jeanne,1936-11-15,972,4,democratie et republique,591.0,2,2007-06-20,2012-06-19
Patrick Ollier,1944-12-17,92,7,union pour un mouvement populaire,180.0,2,2007-06-20,2010-12-15
Michel Zumkeller,1966-01-21,90,2,union pour un mouvement populaire,214.0,2,2007-06-20,2012-06-19
Patrice Calméjane,1960-02-06,93,8,union pour un mouvement populaire,31.0,2,2007-06-20,2012-06-19
Patrick Balkany,1948-08-16,92,5,union pour un mouvement populaire,80.0,2,2007-06-20,2012-06-19
Olivier Dassault,1951-06-01,60,1,union pour un mouvement populaire,342.0,1,2007-06-20,2012-06-19
Jean-Yves Le Bouillonnec,1950-09-15,94,11,"socialiste, radical, citoyen et divers gauche",452.0,3,2007-06-20,2012-06-19
Catherine Quéré,1948-03-16,17,3,"socialiste, radical, citoyen et divers gauche",482.0,1,2007-06-20,2012-06-19
Jean-Luc Pérat,1950-01-23,59,24,"socialiste, radical, citoyen et divers gauche",627.0,4,2007-06-20,2012-06-19
Jacques Desallangre,1935-09-06,02,4,non-inscrits,597.0,3,2007-06-20,2012-06-19
Jean-Claude Leroy,1952-06-03,62,3,"socialiste, radical, citoyen et divers gauche",527.0,2,2007-06-20,2011-09-30
Yves Fromion,1941-09-15,18,1,union pour un mouvement populaire,249.0,3,2007-06-20,2012-06-19
Jean-Michel Boucheron,1948-03-06,35,1,"socialiste, radical, citoyen et divers gauche",539.0,2,2007-06-20,2012-06-19
Philippe Cochet,1961-05-23,69,5,union pour un mouvement populaire,271.0,2,2007-06-20,2012-06-19
Alain Suguenot,1951-09-17,21,5,union pour un mouvement populaire,294.0,2,2007-06-20,2012-06-19
Jack Lang,1939-09-02,62,6,"socialiste, radical, citoyen et divers gauche",419.0,2,2007-06-20,2012-06-19
Jean-François Chossy,1947-05-04,42,7,union pour un mouvement populaire,7.0,2,2007-06-20,2011-05-05
Hervé Mariton,1958-11-05,26,3,union pour un mouvement populaire,78.0,2,2007-06-20,2012-06-19
Patrick Labaune,1951-06-13,26,1,union pour un mouvement populaire,13.0,2,2007-06-20,2012-06-19
Cécile Dumoulin,1966-11-10,78,8,union pour un mouvement populaire,226.0,2,2009-04-17,2012-06-19
Jean-Jacques Gaultier,1963-07-13,88,4,union pour un mouvement populaire,117.0,2,2007-06-20,2012-06-19
Philippe Meunier,1966-03-16,69,13,union pour un mouvement populaire,139.0,3,2007-06-20,2012-06-19
Jean-Pierre Abelin,1950-09-03,86,4,nouveau centre,386.0,3,2007-06-20,2012-06-19
Charles-Ange Ginesy,1956-05-14,06,5,union pour un mouvement populaire,138.0,4,2009-07-23,2010-12-14
Colette Langlade,1956-06-20,24,3,"socialiste, radical, citoyen et divers gauche",639.0,3,2008-03-07,2012-06-19
Jean-Claude Lenoir,1944-12-27,61,2,union pour un mouvement populaire,257.0,3,2007-06-20,2011-09-30
Jean-Pierre Brard,1948-02-07,93,7,democratie et republique,583.0,2,2007-06-20,2012-06-19
Pierre-Alain Muet,1945-01-01,69,2,"socialiste, radical, citoyen et divers gauche",549.0,2,2007-06-20,2012-06-19
Charles de Courson,1952-04-02,51,5,nouveau centre,377.0,4,2007-06-20,2012-06-19
Thierry Carcenac,1950-12-19,81,2,"socialiste, radical, citoyen et divers gauche",458.0,2,2007-06-20,2012-06-19
Nicole Ameline,1952-07-04,14,4,union pour un mouvement populaire,87.0,2,2007-06-20,2012-06-19
Didier Gonzales,1960-09-14,94,3,union pour un mouvement populaire,152.0,2,2007-06-20,2012-06-19
Gilbert Le Bris,1949-03-03,29,8,"socialiste, radical, citoyen et divers gauche",607.0,1,2007-06-20,2012-06-19
René Couanau,1936-07-10,35,7,non-inscrits,58.0,2,2007-06-20,2012-06-19
Jean-Paul Bacquet,1949-03-11,63,4,"socialiste, radical, citoyen et divers gauche",411.0,2,2007-06-20,2012-06-19
Bruno Le Roux,1965-05-02,93,1,"socialiste, radical, citoyen et divers gauche",421.0,1,2007-06-20,2012-06-19
Jacques Lamblin,1952-08-29,54,4,union pour un mouvement populaire,38.0,2,2007-06-20,2012-06-19
Marylise Lebranchu,1947-04-25,29,4,"socialiste, radical, citoyen et divers gauche",500.0,2,2007-06-20,2012-06-19
Jacques Remiller,1941-04-13,38,8,union pour un mouvement populaire,356.0,2,2007-06-20,2012-06-19
Valérie Rosso-Debord,1971-11-29,54,3,union pour un mouvement populaire,144.0,3,2007-06-20,2012-06-19
Muriel Marland-Militello,1943-07-30,06,2,union pour un mouvement populaire,207.0,3,2007-06-20,2012-06-19
Marc Joulaud,1967-09-03,72,4,union pour un mouvement populaire,273.0,3,2007-07-20,2012-06-19
Jean-Claude Mathis,1939-08-15,10,2,union pour un mouvement populaire,220.0,3,2007-06-20,2012-06-19
Guénhaël Huet,1956-07-30,50,2,union pour un mouvement populaire,149.0,3,2007-06-20,2012-06-19
Jean-Pierre Dufau,1943-07-05,40,2,"socialiste, radical, citoyen et divers gauche",362.0,2,2007-06-20,2012-06-19
Sylvie Andrieux,1961-12-15,13,7,"socialiste, radical, citoyen et divers gauche",523.0,2,2007-06-20,2012-06-19
Philippe Folliot,1963-07-14,81,3,nouveau centre,389.0,2,2007-06-20,2012-06-19
Dominique Bussereau,1952-07-13,17,4,union pour un mouvement populaire,90.0,2,2010-12-14,2012-06-19
Marie-Lou Marcel,1953-08-21,12,2,"socialiste, radical, citoyen et divers gauche",570.0,2,2007-06-20,2012-06-19
François Lamy,1959-10-31,91,6,"socialiste, radical, citoyen et divers gauche",497.0,3,2007-06-20,2012-06-19
Gilbert Mathon,1941-05-07,80,4,"socialiste, radical, citoyen et divers gauche",478.0,2,2007-06-20,2012-06-19
Maxime Bono,1947-11-01,17,1,"socialiste, radical, citoyen et divers gauche",456.0,3,2007-06-20,2012-06-19
Nicolas Forissier,1961-02-17,36,2,union pour un mouvement populaire,344.0,3,2007-06-20,2012-06-19
Jérôme Chartier,1966-11-14,95,7,union pour un mouvement populaire,95.0,2,2007-06-20,2012-06-19
Roland Blum,1945-07-12,13,1,union pour un mouvement populaire,112.0,4,2007-06-20,2012-06-19
Jean-Pierre Gorges,1953-08-03,28,1,union pour un mouvement populaire,340.0,3,2008-09-15,2012-06-19
Hervé Féron,1956-08-03,54,2,"socialiste, radical, citoyen et divers gauche",645.0,2,2007-06-20,2012-06-19
Alfred Almont,1944-09-15,972,2,union pour un mouvement populaire,123.0,2,2007-06-20,2012-06-19
